"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"JEAN-SEBASTIEN.GIGUERE","2009-2010","ANA/TOR",35,1491.35,747,63,91.57,92.22,-0.66,97.45,90.73,80.34,-4.9
"JEAN-SEBASTIEN.GIGUERE","2010-2011","TOR",33,1248.65,611,55,91,92.1,-1.11,97.1,90.25,77.42,-6.76
"JEAN-SEBASTIEN.GIGUERE","2011-2012","COL",32,1447.92,677,51,92.47,92.65,-0.18,99.12,89.47,79.53,-1.24
"JEAN-SEBASTIEN.GIGUERE","2012-2013","COL",18,731.45,366,30,91.8,92.91,-1.11,96.45,93.38,75.41,-4.06
"JEAN-SEBASTIEN.GIGUERE","2013-2014","COL",22,966.62,470,37,92.13,92.44,-0.31,98.02,93.92,74.71,-1.45
"JEFF.DESLAURIERS","2009-2010","EDM",45,2024.95,1104,106,90.4,92.02,-1.62,96.7,90.99,73.49,-17.88
"JEFF.DROUIN-DESLAURIERS","2008-2009","EDM",10,415.88,221,20,90.95,92.44,-1.49,96.34,89.91,80,-3.3
"JEFF.GLASS","2017-2018","CHI",15,665.17,359,29,91.92,91.4,0.53,97.73,90.67,84.42,1.89
"JEFF.ZATKOFF","2013-2014","PIT",20,913.7,430,36,91.63,93.23,-1.61,98.16,89.47,73.77,-6.91
"JEFF.ZATKOFF","2015-2016","PIT",14,579.57,306,25,91.83,93.55,-1.72,97.01,95.83,62.79,-5.25
"JEFF.ZATKOFF","2016-2017","L.A",13,460.15,186,23,87.63,92.33,-4.7,98.81,87.5,63.16,-8.74
"JEREMY.SMITH","2016-2017","COL",10,471.06,243,24,90.12,91.79,-1.67,99.09,89.77,68.89,-4.05
"J-F.BERUBE","2017-2018","CHI",11,480.05,266,27,89.85,91.08,-1.23,97.66,89.33,74.6,-3.28
"JHONAS.ENROTH","2010-2011","BUF",14,619.44,290,23,92.07,92.41,-0.34,99.24,94.29,69.81,-1
"JHONAS.ENROTH","2011-2012","BUF",26,1094.96,576,42,92.71,92.67,0.04,98.22,92.51,78.7,0.21
"JHONAS.ENROTH","2012-2013","BUF",12,492.8,260,17,93.46,93.16,0.3,97.18,91.03,85,0.78
"JHONAS.ENROTH","2013-2014","BUF",28,1240.34,660,48,92.73,92.6,0.13,96.24,92.27,84.3,0.84
"JHONAS.ENROTH","2014-2015","BUF/DAL",50,2280.62,1189,100,91.59,92.12,-0.53,97.19,91.91,78.31,-6.36
"JHONAS.ENROTH","2015-2016","L.A",16,688.56,321,20,93.77,92.04,1.73,98.1,93.14,83.61,5.55
"JHONAS.ENROTH","2016-2017","TOR",5,216.13,116,17,85.34,90.48,-5.14,95.74,86.05,65.38,-5.96
"JIMMY.HOWARD","2009-2010","DET",63,2896.8,1416,106,92.51,92.45,0.06,96.92,93.68,75,0.89
"JIMMY.HOWARD","2010-2011","DET",63,2815.66,1427,122,91.45,92.45,-1,98.18,90.63,74.15,-14.27
"JIMMY.HOWARD","2011-2012","DET",57,2611.25,1136,79,93.05,92.37,0.68,98.45,92.6,81.58,7.67
"JIMMY.HOWARD","2012-2013","DET",42,1872.1,867,52,94,92.34,1.67,99,94.68,82.07,14.45
"JIMMY.HOWARD","2013-2014","DET",51,2314.93,1126,84,92.54,92.41,0.13,97.38,92.41,80.48,1.41
"JIMMY.HOWARD","2014-2015","DET",53,2289.86,1022,80,92.17,92.41,-0.24,97.86,91.64,77.3,-2.48
"JIMMY.HOWARD","2015-2016","DET",37,1546.11,762,61,91.99,91.77,0.22,98.53,93.36,76.36,1.69
"JIMMY.HOWARD","2016-2017","DET",26,1114.46,536,40,92.54,92.74,-0.2,96.03,93.72,80.65,-1.08
"JIMMY.HOWARD","2017-2018","DET",59,2638.28,1364,108,92.08,92.28,-0.19,97.39,92.72,75.86,-2.65
"JIMMY.HOWARD","2018-2019","DET",55,2468.02,1367,104,92.39,91.81,0.58,97.28,92.46,81.72,7.89
